Date,2020-11-13 07:43:41
Filename,STFCB-20201012-0105-0138_20201113_074204_002.dat
Data Label,정상
Label No,00
Motor Spec,L-DEF-01,1730,2.2,8.6,
Period,1SEC
Sample Rate,2000
RMS,2.39305,2.40528,2.55943,
Data Length,2000,
0,1.0810546875,-3.603515625,2.0419921875,
0.0005,0.6005859375,-3.8037109375,2.6025390625,
0.001,0.1201171875,-3.603515625,2.8828125,
0.0015,-0.5205078125,-3.1630859375,3.0029296875,
0.002,-1.3212890625,-2.3623046875,3.1630859375,
0.0025,-2.2421875,-1.681640625,3.36328125,
0.003,-2.72265625,-1.201171875,3.4033203125,
0.0035,-3.1630859375,-0.80078125,3.4033203125,
0.004,-3.203125,-0.400390625,3.0830078125,
0.0045,-3.0830078125,0.2802734375,2.3623046875,
0.005,-3.2431640625,1.0810546875,1.76171875,
0.0055,-3.4833984375,1.921875,1.0810546875,
0.006,-3.5634765625,2.482421875,0.640625,
0.0065,-3.36328125,2.7626953125,0.2001953125,
0.007,-2.962890625,2.8828125,-0.3203125,
0.0075,-2.2822265625,3.0029296875,-1.12109375,
0.008,-1.6015625,3.2431640625,-2.0419921875,
0.0085,-1.041015625,3.3232421875,-2.72265625,
0.009,-0.640625,3.4833984375,-3.283203125,
0.0095,-0.240234375,3.2431640625,-3.5634765625,
0.01,0.48046875,2.6826171875,-3.5234375,
0.0105,1.28125,2.08203125,-3.763671875,
0.011,2.2021484375,1.4013671875,-4.00390625,
0.0115,2.6826171875,0.9609375,-4.0439453125,
0.012,3.0029296875,0.560546875,-3.923828125,
0.0125,3.0830078125,0.1201171875,-3.5634765625,
0.013,3.04296875,-0.640625,-2.8828125,
0.0135,3.2431640625,-1.4814453125,-2.2421875,
0.014,3.4033203125,-2.2822265625,-1.6015625,
0.0145,3.4833984375,-2.8828125,-1.1611328125,
0.015,3.2431640625,-3.123046875,-0.640625,
0.0155,2.6826171875,-3.203125,0,
0.016,2.001953125,-3.4033203125,0.9208984375,
0.0165,1.2412109375,-3.68359375,1.8818359375,
0.017,0.720703125,-3.763671875,2.482421875,
0.0175,0.2802734375,-3.8837890625,2.962890625,
0.018,-0.2802734375,-3.36328125,3.123046875,
0.0185,-1.12109375,-2.6025390625,3.1630859375,
0.019,-1.9619140625,-1.9619140625,3.443359375,
0.0195,-2.72265625,-1.3212890625,3.5234375,
0.02,-3.1630859375,-0.9208984375,3.5634765625,
0.0205,-3.283203125,-0.48046875,3.203125,
0.021,-3.2431640625,0.1201171875,2.642578125,
0.0215,-3.283203125,0.9208984375,1.921875,
0.022,-3.4833984375,1.76171875,1.2412109375,
0.0225,-3.5634765625,2.40234375,0.720703125,
0.023,-3.5634765625,2.8427734375,0.2802734375,
0.0235,-3.0830078125,2.8828125,-0.2802734375,
0.024,-2.40234375,2.9228515625,-1.0009765625,
0.0245,-1.8017578125,3.1630859375,-1.8818359375,
0.025,-1.1611328125,3.3232421875,-2.6826171875,
0.0255,-0.6806640625,3.36328125,-3.1630859375,
0.026,-0.2802734375,3.283203125,-3.4833984375,
0.0265,0.2802734375,2.8427734375,-3.5634765625,
0.027,1.12109375,2.1220703125,-3.603515625,
0.0275,1.921875,1.5615234375,-3.84375,
